Quant,Tensor,Expected,Observed,Match,Status,Accepted fallback
UD-IQ1_M,ffn_up_exps,iq2_xxs,,,skipped_not_in_model,
UD-IQ1_M,ffn_gate_exps,iq2_xxs,,,skipped_not_in_model,
UD-IQ1_M,ffn_down_exps,iq2_xxs,iq4_nl,True,accepted_fallback,iq4_nl
UD-IQ1_M,ffn_gate_shexp,q5_k,,,skipped_not_in_model,
UD-IQ1_M,ffn_up_shexp,q5_k,,,skipped_not_in_model,
UD-IQ1_M,ffn_down_shexp,q6_k,,,skipped_not_in_model,
UD-IQ1_M,ffn_latent_up,q8_0,,,skipped_not_in_model,
UD-IQ1_M,ffn_latent_down,q8_0,,,skipped_not_in_model,
UD-IQ1_M,ffn_gate,q5_k,q5_k,True,checked,
UD-IQ1_M,ffn_up,q5_k,q5_k,True,checked,
UD-IQ1_M,ffn_down,q6_k,q8_0,True,accepted_fallback,q8_0
UD-IQ1_M,ssm_out,q6_k,,,skipped_not_in_model,
UD-IQ1_M,ssm_in,q6_k,,,skipped_not_in_model,
UD-IQ1_M,ssm_alpha,q8_0,,,skipped_not_in_model,
UD-IQ1_M,ssm_beta,q8_0,,,skipped_not_in_model,
UD-IQ1_M,ssm_conv1d,f32,,,skipped_not_in_model,
UD-IQ1_M,ssm_d,f32,,,skipped_not_in_model,
UD-IQ1_M,inp_shexp,f32,,,skipped_not_in_model,
UD-IQ1_M,attn_q,q5_k,q5_k,True,checked,
UD-IQ1_M,attn_k,q5_k,q5_k,True,checked,
UD-IQ1_M,attn_v,q5_k,q5_k,True,checked,
UD-IQ1_M,attn_qkv,q5_k,,,skipped_not_in_model,
UD-IQ1_M,attn_gate,q5_k,,,skipped_not_in_model,
UD-IQ1_M,attn_output,q5_k,q5_k,True,checked,
UD-IQ1_M,attn_q_a,q5_k,,,skipped_not_in_model,
UD-IQ1_M,attn_q_b,q8_0,,,skipped_not_in_model,
UD-IQ1_M,attn_k_b,q8_0,,,skipped_not_in_model,
UD-IQ1_M,attn_kv_a_mqa,q8_0,,,skipped_not_in_model,
UD-IQ1_M,attn_v_b,q8_0,,,skipped_not_in_model,
UD-IQ2_XXS,ffn_up_exps,iq2_xxs,,,skipped_not_in_model,
UD-IQ2_XXS,ffn_gate_exps,iq2_xxs,,,skipped_not_in_model,
UD-IQ2_XXS,ffn_down_exps,iq2_s,iq4_nl,True,accepted_fallback,iq4_nl
UD-IQ2_XXS,ffn_gate_shexp,q5_k,,,skipped_not_in_model,
UD-IQ2_XXS,ffn_up_shexp,q5_k,,,skipped_not_in_model,
UD-IQ2_XXS,ffn_down_shexp,q6_k,,,skipped_not_in_model,
UD-IQ2_XXS,ffn_latent_up,q8_0,,,skipped_not_in_model,
UD-IQ2_XXS,ffn_latent_down,q8_0,,,skipped_not_in_model,
UD-IQ2_XXS,ffn_gate,q5_k,q5_k,True,checked,
UD-IQ2_XXS,ffn_up,q5_k,q5_k,True,checked,
UD-IQ2_XXS,ffn_down,q6_k,q8_0,True,accepted_fallback,q8_0
UD-IQ2_XXS,ssm_out,q6_k,,,skipped_not_in_model,
UD-IQ2_XXS,ssm_in,q6_k,,,skipped_not_in_model,
UD-IQ2_XXS,ssm_alpha,q8_0,,,skipped_not_in_model,
UD-IQ2_XXS,ssm_beta,q8_0,,,skipped_not_in_model,
UD-IQ2_XXS,ssm_conv1d,f32,,,skipped_not_in_model,
UD-IQ2_XXS,ssm_d,f32,,,skipped_not_in_model,
UD-IQ2_XXS,inp_shexp,f32,,,skipped_not_in_model,
UD-IQ2_XXS,attn_q,q5_k,q5_k,True,checked,
UD-IQ2_XXS,attn_k,q5_k,q5_k,True,checked,
UD-IQ2_XXS,attn_v,q5_k,q5_k,True,checked,
UD-IQ2_XXS,attn_qkv,q5_k,,,skipped_not_in_model,
UD-IQ2_XXS,attn_gate,q5_k,,,skipped_not_in_model,
UD-IQ2_XXS,attn_output,q5_k,q5_k,True,checked,
UD-IQ2_XXS,attn_q_a,q5_k,,,skipped_not_in_model,
UD-IQ2_XXS,attn_q_b,q8_0,,,skipped_not_in_model,
UD-IQ2_XXS,attn_k_b,q8_0,,,skipped_not_in_model,
UD-IQ2_XXS,attn_kv_a_mqa,q8_0,,,skipped_not_in_model,
UD-IQ2_XXS,attn_v_b,q8_0,,,skipped_not_in_model,
UD-IQ2_M,ffn_up_exps,iq2_xxs,,,skipped_not_in_model,
UD-IQ2_M,ffn_gate_exps,iq2_xxs,,,skipped_not_in_model,
UD-IQ2_M,ffn_down_exps,iq3_xxs,iq4_nl,True,accepted_fallback,iq4_nl
UD-IQ2_M,ffn_gate_shexp,q5_k,,,skipped_not_in_model,
UD-IQ2_M,ffn_up_shexp,q5_k,,,skipped_not_in_model,
UD-IQ2_M,ffn_down_shexp,q6_k,,,skipped_not_in_model,
UD-IQ2_M,ffn_latent_up,q8_0,,,skipped_not_in_model,
UD-IQ2_M,ffn_latent_down,q8_0,,,skipped_not_in_model,
UD-IQ2_M,ffn_gate,q5_k,q5_k,True,checked,
UD-IQ2_M,ffn_up,q5_k,q5_k,True,checked,
UD-IQ2_M,ffn_down,q6_k,q8_0,True,accepted_fallback,q8_0
UD-IQ2_M,ssm_out,q6_k,,,skipped_not_in_model,
UD-IQ2_M,ssm_in,q6_k,,,skipped_not_in_model,
UD-IQ2_M,ssm_alpha,q8_0,,,skipped_not_in_model,
UD-IQ2_M,ssm_beta,q8_0,,,skipped_not_in_model,
UD-IQ2_M,ssm_conv1d,f32,,,skipped_not_in_model,
UD-IQ2_M,ssm_d,f32,,,skipped_not_in_model,
UD-IQ2_M,inp_shexp,f32,,,skipped_not_in_model,
UD-IQ2_M,attn_q,q5_k,q5_k,True,checked,
UD-IQ2_M,attn_k,q5_k,q5_k,True,checked,
UD-IQ2_M,attn_v,q5_k,q5_k,True,checked,
UD-IQ2_M,attn_qkv,q5_k,,,skipped_not_in_model,
UD-IQ2_M,attn_gate,q5_k,,,skipped_not_in_model,
UD-IQ2_M,attn_output,q5_k,q5_k,True,checked,
UD-IQ2_M,attn_q_a,q5_k,,,skipped_not_in_model,
UD-IQ2_M,attn_q_b,q8_0,,,skipped_not_in_model,
UD-IQ2_M,attn_k_b,q8_0,,,skipped_not_in_model,
UD-IQ2_M,attn_kv_a_mqa,q8_0,,,skipped_not_in_model,
UD-IQ2_M,attn_v_b,q8_0,,,skipped_not_in_model,
UD-Q2_K_XL,ffn_up_exps,iq2_xs,,,skipped_not_in_model,
UD-Q2_K_XL,ffn_gate_exps,iq2_xs,,,skipped_not_in_model,
UD-Q2_K_XL,ffn_down_exps,iq3_xxs,iq4_nl,True,accepted_fallback,iq4_nl
UD-Q2_K_XL,ffn_gate_shexp,q5_k,,,skipped_not_in_model,
UD-Q2_K_XL,ffn_up_shexp,q5_k,,,skipped_not_in_model,
UD-Q2_K_XL,ffn_down_shexp,q6_k,,,skipped_not_in_model,
UD-Q2_K_XL,ffn_latent_up,q8_0,,,skipped_not_in_model,
UD-Q2_K_XL,ffn_latent_down,q8_0,,,skipped_not_in_model,
UD-Q2_K_XL,ffn_gate,q5_k,q5_k|q6_k,True,checked,
UD-Q2_K_XL,ffn_up,q5_k,q5_k|q6_k,True,checked,
UD-Q2_K_XL,ffn_down,q6_k,q8_0,True,accepted_fallback,q8_0
UD-Q2_K_XL,ssm_out,q6_k,,,skipped_not_in_model,
UD-Q2_K_XL,ssm_in,q6_k,,,skipped_not_in_model,
UD-Q2_K_XL,ssm_alpha,q8_0,,,skipped_not_in_model,
UD-Q2_K_XL,ssm_beta,q8_0,,,skipped_not_in_model,
UD-Q2_K_XL,ssm_conv1d,f32,,,skipped_not_in_model,
UD-Q2_K_XL,ssm_d,f32,,,skipped_not_in_model,
UD-Q2_K_XL,inp_shexp,f32,,,skipped_not_in_model,
UD-Q2_K_XL,attn_q,q5_k,q5_k|q6_k,True,checked,
UD-Q2_K_XL,attn_k,q6_k,q6_k|q8_0,True,checked,
UD-Q2_K_XL,attn_v,q6_k,q6_k|q8_0,True,checked,
UD-Q2_K_XL,attn_qkv,q5_k,,,skipped_not_in_model,
UD-Q2_K_XL,attn_gate,q5_k,,,skipped_not_in_model,
UD-Q2_K_XL,attn_output,q5_k,q5_k|q6_k,True,checked,
UD-Q2_K_XL,attn_q_a,q5_k,,,skipped_not_in_model,
UD-Q2_K_XL,attn_q_b,q8_0,,,skipped_not_in_model,
UD-Q2_K_XL,attn_k_b,q8_0,,,skipped_not_in_model,
UD-Q2_K_XL,attn_kv_a_mqa,q8_0,,,skipped_not_in_model,
UD-Q2_K_XL,attn_v_b,q8_0,,,skipped_not_in_model,
UD-IQ3_XXS,ffn_up_exps,iq2_s,,,skipped_not_in_model,
UD-IQ3_XXS,ffn_gate_exps,iq2_s,,,skipped_not_in_model,
UD-IQ3_XXS,ffn_down_exps,iq3_xxs,iq4_nl,True,accepted_fallback,iq4_nl
UD-IQ3_XXS,ffn_gate_shexp,q6_k,,,skipped_not_in_model,
UD-IQ3_XXS,ffn_up_shexp,q6_k,,,skipped_not_in_model,
UD-IQ3_XXS,ffn_down_shexp,q6_k,,,skipped_not_in_model,
UD-IQ3_XXS,ffn_latent_up,q8_0,,,skipped_not_in_model,
UD-IQ3_XXS,ffn_latent_down,q8_0,,,skipped_not_in_model,
UD-IQ3_XXS,ffn_gate,q6_k,q6_k,True,checked,
UD-IQ3_XXS,ffn_up,q6_k,q6_k,True,checked,
UD-IQ3_XXS,ffn_down,q6_k,q8_0,True,accepted_fallback,q8_0
UD-IQ3_XXS,ssm_out,q6_k,,,skipped_not_in_model,
UD-IQ3_XXS,ssm_in,q6_k,,,skipped_not_in_model,
UD-IQ3_XXS,ssm_alpha,q8_0,,,skipped_not_in_model,
UD-IQ3_XXS,ssm_beta,q8_0,,,skipped_not_in_model,
UD-IQ3_XXS,ssm_conv1d,f32,,,skipped_not_in_model,
UD-IQ3_XXS,ssm_d,f32,,,skipped_not_in_model,
UD-IQ3_XXS,inp_shexp,f32,,,skipped_not_in_model,
UD-IQ3_XXS,attn_q,q6_k,q6_k,True,checked,
UD-IQ3_XXS,attn_k,q6_k,q6_k,True,checked,
UD-IQ3_XXS,attn_v,q6_k,q6_k,True,checked,
UD-IQ3_XXS,attn_qkv,q6_k,,,skipped_not_in_model,
UD-IQ3_XXS,attn_gate,q6_k,,,skipped_not_in_model,
UD-IQ3_XXS,attn_output,q6_k,q6_k,True,checked,
UD-IQ3_XXS,attn_q_a,q6_k,,,skipped_not_in_model,
UD-IQ3_XXS,attn_q_b,q8_0,,,skipped_not_in_model,
UD-IQ3_XXS,attn_k_b,q8_0,,,skipped_not_in_model,
UD-IQ3_XXS,attn_kv_a_mqa,q8_0,,,skipped_not_in_model,
UD-IQ3_XXS,attn_v_b,q8_0,,,skipped_not_in_model,
UD-IQ3_S,ffn_up_exps,iq2_s,,,skipped_not_in_model,
UD-IQ3_S,ffn_gate_exps,iq2_s,,,skipped_not_in_model,
UD-IQ3_S,ffn_down_exps,iq3_s,iq4_nl,True,accepted_fallback,iq4_nl
UD-IQ3_S,ffn_gate_shexp,q6_k,,,skipped_not_in_model,
UD-IQ3_S,ffn_up_shexp,q6_k,,,skipped_not_in_model,
UD-IQ3_S,ffn_down_shexp,q6_k,,,skipped_not_in_model,
UD-IQ3_S,ffn_latent_up,q8_0,,,skipped_not_in_model,
UD-IQ3_S,ffn_latent_down,q8_0,,,skipped_not_in_model,
UD-IQ3_S,ffn_gate,q6_k,q6_k,True,checked,
UD-IQ3_S,ffn_up,q6_k,q6_k,True,checked,
UD-IQ3_S,ffn_down,q6_k,q8_0,True,accepted_fallback,q8_0
UD-IQ3_S,ssm_out,q6_k,,,skipped_not_in_model,
UD-IQ3_S,ssm_in,q6_k,,,skipped_not_in_model,
UD-IQ3_S,ssm_alpha,q8_0,,,skipped_not_in_model,
UD-IQ3_S,ssm_beta,q8_0,,,skipped_not_in_model,
UD-IQ3_S,ssm_conv1d,f32,,,skipped_not_in_model,
UD-IQ3_S,ssm_d,f32,,,skipped_not_in_model,
UD-IQ3_S,inp_shexp,f32,,,skipped_not_in_model,
UD-IQ3_S,attn_q,q6_k,q6_k,True,checked,
UD-IQ3_S,attn_k,q6_k,q6_k,True,checked,
UD-IQ3_S,attn_v,q6_k,q6_k,True,checked,
UD-IQ3_S,attn_qkv,q6_k,,,skipped_not_in_model,
UD-IQ3_S,attn_gate,q6_k,,,skipped_not_in_model,
UD-IQ3_S,attn_output,q6_k,q6_k,True,checked,
UD-IQ3_S,attn_q_a,q6_k,,,skipped_not_in_model,
UD-IQ3_S,attn_q_b,q8_0,,,skipped_not_in_model,
UD-IQ3_S,attn_k_b,q8_0,,,skipped_not_in_model,
UD-IQ3_S,attn_kv_a_mqa,q8_0,,,skipped_not_in_model,
UD-IQ3_S,attn_v_b,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,ffn_up_exps,iq3_xxs,,,skipped_not_in_model,
UD-Q3_K_XL,ffn_gate_exps,iq3_xxs,,,skipped_not_in_model,
UD-Q3_K_XL,ffn_down_exps,iq4_xs,iq4_nl|q5_1,True,accepted_fallback,iq4_nl
UD-Q3_K_XL,ffn_gate_shexp,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,ffn_up_shexp,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,ffn_down_shexp,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,ffn_latent_up,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,ffn_latent_down,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,ffn_gate,q8_0,bf16|q8_0,True,checked,
UD-Q3_K_XL,ffn_up,q8_0,bf16|q8_0,True,checked,
UD-Q3_K_XL,ffn_down,q8_0,bf16|q8_0,True,checked,
UD-Q3_K_XL,ssm_out,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,ssm_in,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,ssm_alpha,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,ssm_beta,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,ssm_conv1d,f32,,,skipped_not_in_model,
UD-Q3_K_XL,ssm_d,f32,,,skipped_not_in_model,
UD-Q3_K_XL,inp_shexp,f32,,,skipped_not_in_model,
UD-Q3_K_XL,attn_q,q8_0,bf16|q8_0,True,checked,
UD-Q3_K_XL,attn_k,q8_0,bf16|q8_0,True,checked,
UD-Q3_K_XL,attn_v,q8_0,bf16|q8_0,True,checked,
UD-Q3_K_XL,attn_qkv,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,attn_gate,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,attn_output,q8_0,bf16|q8_0,True,checked,
UD-Q3_K_XL,attn_q_a,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,attn_q_b,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,attn_k_b,q8_0,,,skipped_not_in_model,
UD-Q3_K_XL,attn_kv_a_mqa,q8_0,,,skipped_not_in_model,
